Lineage ID	Frequency  Day 0	Frequency  Day 3	Frequency  Day 6	Frequency  Day 9	Afatinib  response  group
bc14-021:bc30-021932	2.20635950681376	3.34029227557411	4.03397027600849	2.80948200175593	Tolerant
bc14-037:bc30-021892	4.34782608695652	1.46137787056367	2.01698513800425	2.01931518876207	Tolerant
bc14-012:bc30-099590	1.16807268007787	0.835073068893528	1.27388535031847	1.40474100087796	Tolerant
bc14-021:bc30-048793	2.40103828682674	2.2964509394572	2.12314225053079	1.40474100087796	Tolerant
bc14-054:bc30-099259	2.20635950681376	2.71398747390397	2.33545647558386	1.31694468832309	Tolerant
bc14-006:bc30-019687	0.843608046722907	0.626304801670146	0.530785562632696	0.9657594381036	Tolerant
bc14-061:bc30-092152	0.584036340038936	1.25260960334029	0.530785562632696	0.9657594381036	Tolerant
bc14-011:bc30-090251	0.973393900064893	0.208768267223382	1.38004246284501	0.877963125548727	Tolerant
bc14-060:bc30-072759	0.648929266709929	0.208768267223382	0.955414012738853	0.790166812993854	Tolerant
bc14-065:bc30-030058	0.713822193380921	3.13152400835073	0.636942675159236	0.702370500438982	Tolerant
bc14-043:bc30-034364	0.713822193380921	1.04384133611691	0.530785562632696	0.614574187884109	Tolerant
bc14-064:bc30-086398	0.584036340038936	0.626304801670146	0.849256900212314	0.614574187884109	Tolerant
bc14-065:bc30-029505	0.973393900064893	2.08768267223382	0.530785562632696	0.614574187884109	Tolerant
bc14-096:bc30-014468	0.778715120051914	0.208768267223382	0.849256900212314	0.614574187884109	Tolerant
bc14-052:bc30-005120	0.389357560025957	0.835073068893528	1.38004246284501	0.526777875329236	Tolerant
bc14-052:bc30-029064	0.713822193380921	1.04384133611691	0.106157112526539	0.526777875329236	Tolerant
bc14-087:bc30-061352	0.519143413367943	0.208768267223382	0.212314225053079	0.526777875329236	Tolerant
bc14-022:bc30-047533	0.324464633354964	0.208768267223382	0.424628450106157	0.438981562774363	Tolerant
bc14-059:bc30-072335	0.324464633354964	0.208768267223382	0.530785562632696	0.438981562774363	Tolerant
bc14-019:bc30-041430	0.324464633354964	#N/A	0.636942675159236	0.351185250219491	Tolerant
bc14-029:bc30-078291	0.324464633354964	0.208768267223382	0.212314225053079	0.351185250219491	Tolerant
bc14-039:bc30-051511	0.324464633354964	0.417536534446764	0.743099787685775	0.351185250219491	Tolerant
bc14-065:bc30-057163	0.194678780012979	0.417536534446764	0.530785562632696	0.351185250219491	Tolerant
bc14-020:bc30-010913	0.648929266709929	0.417536534446764	0.424628450106157	0.263388937664618	Tolerant
bc14-033:bc30-023121	0.194678780012979	0.417536534446764	0.212314225053079	0.263388937664618	Tolerant
bc14-055:bc30-057547	0.45425048669695	0.417536534446764	0.318471337579618	0.263388937664618	Tolerant
bc14-061:bc30-015052	0.259571706683971	#N/A	0.106157112526539	0.263388937664618	Tolerant
bc14-063:bc30-070885	0.519143413367943	1.04384133611691	0.318471337579618	0.263388937664618	Tolerant
bc14-003:bc30-090195	0.389357560025957	0.417536534446764	0.424628450106157	0.175592625109745	Tolerant
bc14-006:bc30-066015	0.45425048669695	#N/A	0.424628450106157	0.175592625109745	Tolerant
bc14-006:bc30-071388	0.259571706683971	#N/A	0.106157112526539	0.175592625109745	Tolerant
bc14-018:bc30-066885	0.194678780012979	#N/A	0.106157112526539	0.175592625109745	Tolerant
bc14-022:bc30-069303	0.45425048669695	0.208768267223382	#N/A	0.175592625109745	Tolerant
bc14-037:bc30-094922	0.194678780012979	#N/A	#N/A	0.175592625109745	Tolerant
bc14-061:bc30-007079	0.259571706683971	#N/A	0.212314225053079	0.175592625109745	Tolerant
bc14-065:bc30-033306	0.324464633354964	0.208768267223382	0.318471337579618	0.175592625109745	Tolerant
bc14-071:bc30-020429	0.584036340038936	0.208768267223382	0.424628450106157	0.175592625109745	Tolerant
bc14-086:bc30-044324	0.519143413367943	0.208768267223382	0.106157112526539	0.175592625109745	Tolerant
bc14-095:bc30-012872	0.259571706683971	0.208768267223382	0.212314225053079	0.175592625109745	Tolerant
bc14-001:bc30-037375	0.0648929266709929	#N/A	#N/A	0.0877963125548727	Tolerant
bc14-007:bc30-038130	0.129785853341986	#N/A	#N/A	0.0877963125548727	Tolerant
bc14-015:bc30-078014	0.0648929266709929	#N/A	#N/A	0.0877963125548727	Tolerant
bc14-024:bc30-096023	0.0648929266709929	0.208768267223382	0.424628450106157	0.0877963125548727	Tolerant
bc14-029:bc30-044951	0.129785853341986	0.208768267223382	#N/A	0.0877963125548727	Tolerant
bc14-037:bc30-069628	0.0648929266709929	0.417536534446764	#N/A	0.0877963125548727	Tolerant
bc14-045:bc30-024511	0.324464633354964	#N/A	#N/A	0.0877963125548727	Tolerant
bc14-050:bc30-014578	0.0648929266709929	0.208768267223382	#N/A	0.0877963125548727	Tolerant
bc14-055:bc30-073573	0.259571706683971	0.417536534446764	0.424628450106157	0.0877963125548727	Tolerant
bc14-058:bc30-071926	0.0648929266709929	#N/A	0.106157112526539	0.0877963125548727	Tolerant
bc14-059:bc30-086131	0.0648929266709929	#N/A	0.106157112526539	0.0877963125548727	Tolerant
bc14-061:bc30-079696	0.194678780012979	#N/A	0.106157112526539	0.0877963125548727	Tolerant
bc14-065:bc30-098517	0.0648929266709929	0.208768267223382	0.106157112526539	0.0877963125548727	Tolerant
bc14-069:bc30-027116	0.259571706683971	#N/A	#N/A	0.0877963125548727	Tolerant
bc14-083:bc30-009620	0.324464633354964	0.626304801670146	0.106157112526539	0.0877963125548727	Tolerant
bc14-087:bc30-065831	0.129785853341986	0.417536534446764	0.106157112526539	0.0877963125548727	Tolerant
bc14-095:bc30-033735	0.0648929266709929	#N/A	#N/A	0.0877963125548727	Tolerant
bc14-095:bc30-059525	0.194678780012979	#N/A	0.212314225053079	0.0877963125548727	Tolerant
bc14-013:bc30-092942	14.4711226476314	21.5031315240083	32.6963906581741	35.4697102721686	Tolerant
bc14-065:bc30-046216	2.46593121349773	6.47181628392484	7.74946921443737	9.92098331870061	Tolerant
bc14-029:bc30-097278	0.648929266709929	1.67014613778706	0.849256900212314	2.01931518876207	Tolerant
bc14-057:bc30-088917	0.519143413367943	0.417536534446764	1.91082802547771	1.14135206321335	Tolerant
bc14-040:bc30-048917	0.324464633354964	0.208768267223382	0.849256900212314	1.05355575065847	Tolerant
bc14-002:bc30-074580	0.389357560025957	0.835073068893528	0.955414012738853	0.877963125548727	Tolerant
bc14-063:bc30-058638	0.259571706683971	0.208768267223382	0.530785562632696	0.614574187884109	Tolerant
bc14-040:bc30-018935	0.129785853341986	#N/A	0.424628450106157	0.438981562774363	Tolerant
bc14-051:bc30-000703	0.194678780012979	0.417536534446764	0.318471337579618	0.438981562774363	Tolerant
bc14-029:bc30-007942	0.0648929266709929	#N/A	#N/A	0.263388937664618	Tolerant
bc14-038:bc30-044710	0.0648929266709929	#N/A	#N/A	0.263388937664618	Tolerant
bc14-099:bc30-079659	0.0648929266709929	#N/A	0.212314225053079	0.263388937664618	Tolerant
bc14-065:bc30-087150	0.0648929266709929	#N/A	0.106157112526539	0.175592625109745	Tolerant
bc14-001:bc30-003651	0.0648929266709929	0.208768267223382	#N/A	#N/A	Tolerant
bc14-001:bc30-050813	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-001:bc30-073725	0.194678780012979	#N/A	#N/A	#N/A	Sensitive
bc14-002:bc30-005546	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-002:bc30-018515	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-002:bc30-023232	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-002:bc30-037900	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-002:bc30-045329	0.129785853341986	#N/A	#N/A	#N/A	Sensitive
bc14-002:bc30-051804	0.194678780012979	0.208768267223382	0.212314225053079	#N/A	Sensitive
bc14-002:bc30-059123	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-002:bc30-097262	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-003:bc30-006836	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-003:bc30-018637	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-003:bc30-023649	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-003:bc30-060369	#N/A	0.208768267223382	0.106157112526539	#N/A	Sensitive
bc14-004:bc30-003418	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-004:bc30-008394	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
bc14-004:bc30-027226	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-004:bc30-031423	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-004:bc30-071961	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-004:bc30-087344	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-005:bc30-009892	0.0648929266709929	#N/A	#N/A	#N/A	Sensitive
bc14-006:bc30-030371	0.194678780012979	#N/A	0.106157112526539	#N/A	Sensitive
bc14-006:bc30-067911	0.0648929266709929	0.208768267223382	#N/A	#N/A	Sensitive
bc14-006:bc30-085689	#N/A	#N/A	0.106157112526539	#N/A	Sensitive
bc14-007:bc30-000605	#N/A	0.208768267223382	#N/A	#N/A	Sensitive
