cluster	gene
Ductal cell MKI67	BUB1B
Ductal cell MKI67	RACGAP1
Ductal cell MKI67	SGO1
Ductal cell MKI67	VRK1
Ductal cell MKI67	FAM111B
Ductal cell MKI67	PKMYT1
Ductal cell MKI67	KNSTRN
Ductal cell MKI67	IQGAP3
Ductal cell MKI67	NCAPH
Ductal cell MKI67	CENPU
Ductal cell MKI67	KIF15
Ductal cell MKI67	SHCBP1
Ductal cell MKI67	CENPH
Ductal cell MKI67	CKAP2L
Ductal cell MKI67	ESCO2
Ductal cell MKI67	CDCA5
Ductal cell MKI67	PARPBP
Ductal cell MKI67	MND1
Ductal cell MKI67	CIT
Ductal cell MKI67	TTK
Ductal cell MKI67	SPC24
Ductal cell MKI67	SKA3
Ductal cell MKI67	CIP2A
Ductal cell MKI67	CDCA2
Ductal cell MKI67	HIST1H1D
Ductal cell MKI67	DHFR
Ductal cell MKI67	LCP1
Ductal cell MKI67	DNMT1
Ductal cell MKI67	NRGN
Ductal cell MKI67	FEN1
Ductal cell MKI67	PHF19
Ductal cell MKI67	SPAG5
Ductal cell MKI67	UBE2S
Ductal cell MKI67	MELK
Ductal cell MKI67	NCAPD3
Ductal cell MKI67	NCAPG2
Ductal cell MKI67	PTMA
Ductal cell MKI67	BRCA2
Ductal cell MKI67	KPNA2
Ductal cell MKI67	E2F8
Ductal cell MKI67	GMFG
Ductal cell MKI67	CCDC34
Ductal cell MKI67	HELLS
Ductal cell MKI67	HIST1H3B
Ductal cell MKI67	DTL
Ductal cell MKI67	MXD3
Ductal cell MKI67	HMGB3
Ductal cell MKI67	GINS2
Ductal cell MKI67	ECT2
Ductal cell MKI67	LSM5
Ductal cell MKI67	MCM4
Ductal cell MKI67	DEK
Ductal cell MKI67	POC1A
Ductal cell MKI67	RANBP1
Ductal cell MKI67	MCM7
Ductal cell MKI67	MIS18A
Ductal cell MKI67	ATAD5
Ductal cell MKI67	CORO1A
Ductal cell MKI67	CENPM
Ductal cell MKI67	RPA3
Ductal cell MKI67	KIF18A
Ductal cell MKI67	RAN
Ductal cell MKI67	CD52
Ductal cell MKI67	HIST1H1E
Ductal cell MKI67	MCM10
Ductal cell MKI67	FBXO5
Ductal cell MKI67	LSP1
Ductal cell MKI67	CD53
Ductal cell MKI67	CHEK1
Ductal cell MKI67	NASP
Ductal cell MKI67	RRM1
Ductal cell MKI67	SKA2
Ductal cell MKI67	ANP32B
Ductal cell MKI67	HIST2H2AC
Ductal cell MKI67	OIP5
Ductal cell MKI67	DNAJC9
Ductal cell MKI67	PTPRC
Ductal cell MKI67	BUB3
Ductal cell MKI67	RFC3
Ductal cell MKI67	UHRF1
Ductal cell MKI67	HIST1H4C
Ductal cell MKI67	PCNA
Ductal cell MKI67	CELF2
Ductal cell MKI67	LDHB
Ductal cell MKI67	STIL
Ductal cell MKI67	APBB1IP
Ductal cell MKI67	FANCD2
Ductal cell MKI67	C21orf58
Ductal cell MKI67	ARHGDIB
Ductal cell MKI67	HNRNPA1
Ductal cell MKI67	PFN1
Ductal cell MKI67	CDC6
Ductal cell MKI67	MZT1
Ductal cell MKI67	NRM
Ductal cell MKI67	SAP30
Ductal cell MKI67	SLA
Ductal cell MKI67	FYB1
Ductal cell MKI67	YBX1
Ductal cell MKI67	DDX39A
Ductal cell MKI67	CALM3
Ductal cell MKI67	HMGN1
Ductal cell MKI67	WDR76
Ductal cell MKI67	PSIP1
Ductal cell MKI67	CKAP5
Ductal cell MKI67	EZH2
Ductal cell MKI67	DUT
Ductal cell MKI67	PPIH
Ductal cell MKI67	CLEC2B
Ductal cell MKI67	SPDL1
Ductal cell MKI67	CYTIP
Ductal cell MKI67	LMNB2
Ductal cell MKI67	ZEB2
Ductal cell MKI67	GPSM2
Ductal cell MKI67	RAD21
Ductal cell MKI67	MCM5
Ductal cell MKI67	LSM3
Ductal cell MKI67	ALYREF
Ductal cell MKI67	TCF19
Ductal cell MKI67	DBF4
Ductal cell MKI67	MCM2
Ductal cell MKI67	CBX5
Ductal cell MKI67	FAM111A
Ductal cell MKI67	MNDA
Ductal cell MKI67	RGS1
Ductal cell MKI67	CD2
Ductal cell MKI67	GZMA
Ductal cell MKI67	IKZF1
Ductal cell MKI67	HCST
Ductal cell MKI67	HNRNPA2B1
Ductal cell MKI67	E2F1
Ductal cell MKI67	IFI16
Ductal cell MKI67	MCM3
Ductal cell MKI67	MAZ
Ductal cell MKI67	RFC4
Ductal cell MKI67	HNRNPA3
Ductal cell MKI67	EXOSC8
Ductal cell MKI67	PTPN7
Ductal cell MKI67	PSME2
Ductal cell MKI67	NSD2
Ductal cell MKI67	MCM6
Ductal cell MKI67	ALOX5AP
Ductal cell MKI67	ZWILCH
Ductal cell MKI67	ITM2A
Ductal cell MKI67	EVL
Ductal cell MKI67	ITGB2
Ductal cell MKI67	TTF2
Ductal cell MKI67	CD96
Ductal cell MKI67	SAPCD2
Ductal cell MKI67	HCLS1
Ductal cell MKI67	CD37
Ductal cell MKI67	TRAC
Ductal cell MKI67	MS4A4A
Ductal cell MKI67	SPI1
Ductal cell MKI67	HNRNPAB
Ductal cell MKI67	IDH2
Ductal cell MKI67	CD3E
Ductal cell MKI67	SNRPF
Ductal cell MKI67	HP1BP3
Ductal cell MKI67	LCP2
Ductal cell MKI67	SRGN
Ductal cell MKI67	BARD1
Ductal cell MKI67	CYBB
Ductal cell MKI67	SMC3
Ductal cell MKI67	CDKN2C
Ductal cell MKI67	LRR1
Ductal cell MKI67	H2AFX
Ductal cell MKI67	SAMHD1
Ductal cell MKI67	CCL5
Ductal cell MKI67	CD69
Ductal cell MKI67	TREM2
Ductal cell MKI67	PGP
Ductal cell MKI67	PA2G4
Ductal cell MKI67	SMC1A
Ductal cell MKI67	SAMSN1
Ductal cell MKI67	YEATS4
Ductal cell MKI67	EMC9
Ductal cell MKI67	TPRKB
Ductal cell MKI67	PPIA
Ductal cell MKI67	SNRPB
Ductal cell MKI67	LSM4
Ductal cell MKI67	PRKDC
Ductal cell MKI67	NDC1
Ductal cell MKI67	LAPTM5
Ductal cell MKI67	RUNX3
Ductal cell MKI67	CFL1
Ductal cell MKI67	CDCA4
Ductal cell MKI67	C1orf162
Ductal cell MKI67	USP1
Ductal cell MKI67	MS4A7
Ductal cell MKI67	FCER1G
Ductal cell MKI67	SIVA1
Ductal cell MKI67	NAP1L1
Ductal cell MKI67	CDC25B
Ductal cell MKI67	TMEM106C
Ductal cell MKI67	COQ2
Ductal cell MKI67	CKLF
Ductal cell MKI67	CBX3
Ductal cell MKI67	SNRNP25
Ductal cell MKI67	TRBC2
Ductal cell MKI67	AIF1
Ductal cell MKI67	MRPL51
Ductal cell MKI67	FKBP5
Ductal cell MKI67	GMNN
Ductal cell MKI67	FABP5
Ductal cell MKI67	SAC3D1
Ductal cell MKI67	RFC2
Ductal cell MKI67	VIM
Ductal cell MKI67	RNASEH2C
Ductal cell MKI67	TFDP1
Ductal cell MKI67	SNRPD1
Ductal cell MKI67	CD3G
Ductal cell MKI67	LIG1
Ductal cell MKI67	MRC1
Ductal cell MKI67	CLEC2D
Ductal cell MKI67	BANF1
Ductal cell MKI67	UQCC2
Ductal cell MKI67	PSMA4
Ductal cell MKI67	DCK
Ductal cell MKI67	SNRPG
Ductal cell MKI67	NKG7
Ductal cell MKI67	CSE1L
Ductal cell MKI67	HMGN3
Ductal cell MKI67	RPL6
Ductal cell MKI67	TEX30
Ductal cell MKI67	RNASEH2B
Ductal cell MKI67	TYROBP
Ductal cell MKI67	LSM2
Ductal cell MKI67	POLE3
Ductal cell MKI67	FCGR3A
Ductal cell MKI67	TOPBP1
Ductal cell MKI67	MS4A6A
Ductal cell MKI67	ILF2
Ductal cell MKI67	LYAR
Ductal cell MKI67	TRBC1
Ductal cell MKI67	IGSF6
Ductal cell MKI67	SET
Ductal cell MKI67	CENPX
Ductal cell MKI67	VPS29
Ductal cell MKI67	POLD3
Ductal cell MKI67	CACYBP
Ductal cell MKI67	FAM83D
Ductal cell MKI67	COX8A
Ductal cell MKI67	DOCK8
Ductal cell MKI67	NCL
Ductal cell MKI67	NMU
Ductal cell MKI67	PAXX
Ductal cell MKI67	EIF5A
Ductal cell MKI67	C1QC
Ductal cell MKI67	TEDC1
Ductal cell MKI67	HNRNPR
Ductal cell MKI67	CDKN2D
Ductal cell MKI67	LBR
Ductal cell MKI67	GLIPR1
Ductal cell MKI67	PARP1
Ductal cell MKI67	CCT5
Ductal cell MKI67	RBBP7
Ductal cell MKI67	PLEK
Ductal cell MKI67	NME1
Ductal cell MKI67	VDAC3
Ductal cell MKI67	GYPC
Ductal cell MKI67	COMMD4
Ductal cell MKI67	NPM1
Ductal cell MKI67	HSPB11
Ductal cell MKI67	CD7
Ductal cell MKI67	HAT1
Ductal cell MKI67	CNTRL
Ductal cell MKI67	SAE1
Ductal cell MKI67	SLC25A5
Ductal cell MKI67	CD14
Ductal cell MKI67	TUBG1
Ductal cell MKI67	TGFBI
Ductal cell MKI67	RSRC1
Ductal cell MKI67	SNRPD2
Ductal cell MKI67	SLC2A3
Ductal cell MKI67	SNRPE
Ductal cell MKI67	7-Sep
Ductal cell MKI67	CDCA7
Ductal cell MKI67	RAC2
Ductal cell MKI67	PSMB9
Ductal cell MKI67	CMC2
Ductal cell MKI67	KPNB1
Ductal cell MKI67	TCOF1
Ductal cell MKI67	CXCR4
Ductal cell MKI67	HNRNPD
Ductal cell MKI67	PSMB3
Ductal cell MKI67	BAX
Ductal cell MKI67	ERH
Ductal cell MKI67	ENO1
Ductal cell MKI67	SLC43A3
Ductal cell MKI67	NUP37
Ductal cell MKI67	MGME1
Ductal cell MKI67	TUBB4B
Ductal cell MKI67	MSR1
Ductal cell MKI67	SSRP1
Ductal cell MKI67	MAGOHB
Ductal cell MKI67	C19orf48
Ductal cell MKI67	CCT2
Ductal cell MKI67	XPO1
Ductal cell MKI67	DBI
Ductal cell MKI67	LST1
Ductal cell MKI67	SFPQ
Ductal cell MKI67	HNRNPM
Ductal cell MKI67	CCL4
Ductal cell MKI67	RPS26
Ductal cell MKI67	CTSC
Ductal cell MKI67	RBM8A
Ductal cell MKI67	SUPT16H
Ductal cell MKI67	MT2A
Ductal cell MKI67	BCL2A1
Ductal cell MKI67	ITGB3BP
Ductal cell MKI67	MTHFD1
Ductal cell MKI67	LDLRAD4
Ductal cell MKI67	GSTO1
Ductal cell MKI67	ANAPC11
Ductal cell MKI67	DCTN3
Ductal cell MKI67	UCP2
Ductal cell MKI67	RPSA
Ductal cell MKI67	TIMM10
Ductal cell MKI67	PTMS
Ductal cell MKI67	TUBA1C
Ductal cell MKI67	G2E3
Ductal cell MKI67	GGCT
Ductal cell MKI67	SRSF3
Ductal cell MKI67	SNRPD3
Ductal cell MKI67	CMSS1
Ductal cell MKI67	SUZ12
Ductal cell MKI67	TXNDC12
Ductal cell MKI67	RECQL
Ductal cell MKI67	PLIN2
Ductal cell MKI67	CD83
Ductal cell MKI67	DKC1
Ductal cell MKI67	CCL3
Ductal cell MKI67	CCDC88A
Ductal cell MKI67	CBX1
Ductal cell MKI67	H2AFY
Ductal cell MKI67	PTGES3
Ductal cell MKI67	GLRX5
Ductal cell MKI67	CD163
Ductal cell MKI67	SMAP2
Ductal cell MKI67	CALM1
Ductal cell MKI67	TFAM
Ductal cell MKI67	IL7R
Ductal cell MKI67	ATP1B3
Ductal cell MKI67	RPLP0
Ductal cell MKI67	PSMA7
Ductal cell MKI67	SERBP1
Ductal cell MKI67	NUDT15
Ductal cell MKI67	ARPC3
Ductal cell MKI67	DCP2
Ductal cell MKI67	MZT2B
Ductal cell MKI67	GAPDH
Ductal cell MKI67	MDH1
Ductal cell MKI67	ATP5MC3
Ductal cell MKI67	BTG3
Ductal cell MKI67	PGAM1
Ductal cell MKI67	ARL6IP1
Ductal cell MKI67	OLR1
Ductal cell MKI67	COTL1
Ductal cell MKI67	RPS19
Ductal cell MKI67	ITGAE
Ductal cell MKI67	ACP5
Ductal cell MKI67	AP2S1
Ductal cell MKI67	PPM1G
Ductal cell MKI67	ILF3
Ductal cell MKI67	FAM129A
Ductal cell MKI67	RBMX
Ductal cell MKI67	S100A9
Ductal cell MKI67	SNX10
Ductal cell MKI67	TUBA1A
Ductal cell MKI67	SNRPC
Ductal cell MKI67	ARPC5
Ductal cell MKI67	NUDCD2
Ductal cell MKI67	FBL
Ductal cell MKI67	PRDX3
Ductal cell MKI67	C1QBP
Ductal cell MKI67	CCL3L1
Ductal cell MKI67	DNAJC8
Ductal cell MKI67	PSMA2
Ductal cell MKI67	PPP1CA
Ductal cell MKI67	MRPL11
Ductal cell MKI67	PAICS
Ductal cell MKI67	ACTL6A
Ductal cell MKI67	ABRACL
Ductal cell MKI67	IFI27L1
Ductal cell MKI67	UQCRH
Ductal cell MKI67	DCXR
Ductal cell MKI67	RUVBL1
Ductal cell MKI67	HPRT1
Ductal cell MKI67	MRTO4
Ductal cell MKI67	CCT6A
Ductal cell MKI67	SRSF7
Ductal cell MKI67	MAGOH
Ductal cell MKI67	LAP3
Ductal cell MKI67	ACTB
Ductal cell MKI67	SRSF10
Ductal cell MKI67	CCL4L2
Ductal cell MKI67	GPNMB
Ductal cell MKI67	PSMB6
Ductal cell MKI67	TMEM160
Ductal cell MKI67	PRDM1
Ductal cell MKI67	NHP2
Ductal cell MKI67	TAF15
Ductal cell MKI67	PSMD14
Ductal cell MKI67	EMP3
Ductal cell MKI67	ATP5MC1
Ductal cell MKI67	SRM
Ductal cell MKI67	PARK7
Ductal cell MKI67	SSB
Ductal cell MKI67	SYNCRIP
Ductal cell MKI67	CCAR1
Ductal cell MKI67	RPS7
Ductal cell MKI67	NAA38
Ductal cell MKI67	PHB2
Ductal cell MKI67	PSMB2
Ductal cell MKI67	H1FX
Ductal cell MKI67	PSMA3
Ductal cell MKI67	FKBP3
Ductal cell MKI67	GPR183
Ductal cell MKI67	DDX46
Ductal cell MKI67	ANAPC15
Ductal cell MKI67	SLBP
Ductal cell MKI67	VBP1
Ductal cell MKI67	TRAPPC1
Ductal cell MKI67	RPL22
Ductal cell MKI67	NDUFS8
Ductal cell MKI67	RPLP1
Ductal cell MKI67	RNF26
Ductal cell MKI67	PAFAH1B3
Ductal cell MKI67	GTF3A
Ductal cell MKI67	NOP56
Ductal cell MKI67	SSBP1
Ductal cell MKI67	SRSF2
Ductal cell MKI67	TOMM40
Ductal cell MKI67	NDUFAB1
Ductal cell MKI67	LSM8
Ductal cell MKI67	RPL35
Ductal cell MKI67	TXNL4A
Ductal cell MKI67	HMG20B
Ductal cell MKI67	KHDRBS1
Ductal cell MKI67	RGCC
Ductal cell MKI67	TPM3
Ductal cell MKI67	C20orf27
Ductal cell MKI67	NONO
Ductal cell MKI67	PSMA1
Ductal cell MKI67	PSMA5
Ductal cell MKI67	NAP1L4
Ductal cell MKI67	PSMC3
Ductal cell MKI67	MLEC
Ductal cell MKI67	OAZ1
Ductal cell MKI67	RBM17
Ductal cell MKI67	DUSP2
Ductal cell MKI67	ACYP1
Ductal cell MKI67	HLA-DQA1
Ductal cell MKI67	TPR
Ductal cell MKI67	HLA-DPA1
Ductal cell MKI67	PDCD5
Ductal cell MKI67	NOP58
Ductal cell MKI67	PCBP2
Ductal cell MKI67	C1QB
Ductal cell MKI67	MAFB
Ductal cell MKI67	LGALS1
Ductal cell MKI67	ACAT1
Ductal cell MKI67	LSM7
Ductal cell MKI67	NUCB2
Ductal cell MKI67	MINOS1
Ductal cell MKI67	RPS8
Ductal cell MKI67	HDGF
Ductal cell MKI67	ATP5PB
Ductal cell MKI67	ARID5B
Ductal cell MKI67	RPS2
Ductal cell MKI67	DHRS4
Ductal cell MKI67	ETV4
Ductal cell MKI67	H3F3A
Ductal cell MKI67	GTF2A2
Ductal cell MKI67	MRPL13
Ductal cell MKI67	POMP
Ductal cell MKI67	BLOC1S1
Ductal cell MKI67	HLA-DRA
Ductal cell MKI67	TLN1
Ductal cell MKI67	RPL21
Ductal cell MKI67	C1QA
Ductal cell MKI67	MRPL17
Ductal cell MKI67	HSP90B1
Ductal cell MKI67	RPS23
Ductal cell MKI67	ATP5MF
Ductal cell MKI67	ATP5PD
Ductal cell MKI67	RPS3A
Ductal cell MKI67	NR3C1
Ductal cell MKI67	TCP1
Ductal cell MKI67	POLD2
Ductal cell MKI67	HLA-DPB1
Ductal cell MKI67	SRRM1
Ductal cell MKI67	PSME1
Ductal cell MKI67	ATP5IF1
Ductal cell MKI67	PSMD1
Ductal cell MKI67	HNRNPC
Ductal cell MKI67	ATP5F1B
Ductal cell MKI67	HSP90AA1
Ductal cell MKI67	NDUFA12
Ductal cell MKI67	SUMO2
Ductal cell MKI67	MRPL12
Ductal cell MKI67	TNFAIP3
Ductal cell MKI67	GNAI2
Ductal cell MKI67	ARPC2
Ductal cell MKI67	RPS15A
Ductal cell MKI67	NDUFA2
Ductal cell MKI67	ZDHHC12
Ductal cell MKI67	RPL26
Ductal cell MKI67	RPL4
Ductal cell MKI67	CD74
Ductal cell MKI67	IMPDH2
Ductal cell MKI67	HSPD1
Ductal cell MKI67	SMCHD1
Ductal cell MKI67	NDUFAF8
Ductal cell MKI67	UQCRQ
Ductal cell MKI67	CD81
Ductal cell MKI67	YWHAQ
Ductal cell MKI67	CCT8
Ductal cell MKI67	XRCC6
Ductal cell MKI67	PPT1
Ductal cell MKI67	SUB1
Ductal cell MKI67	COX5A
Ductal cell MKI67	ENY2
Ductal cell MKI67	TBCD
Ductal cell MKI67	AHCY
Ductal cell MKI67	CYC1
Ductal cell MKI67	CHCHD2
Ductal cell MKI67	TRMT112
Ductal cell MKI67	MBNL1
Ductal cell MKI67	RPL7A
Ductal cell MKI67	ALDH3A1
Ductal cell MKI67	HINT1
Ductal cell MKI67	GNG5
Ductal cell MKI67	SEC11A
Ductal cell MKI67	CYCS
Ductal cell MKI67	RPL15
Ductal cell MKI67	BOLA3
Ductal cell MKI67	GRB2
Ductal cell MKI67	ATP5PO
Ductal cell MKI67	SNX5
Ductal cell MKI67	HNRNPU
Ductal cell MKI67	ANP32A
Ductal cell MKI67	PSMG2
Ductal cell MKI67	HLA-DRB1
Ductal cell MKI67	NIFK
Ductal cell MKI67	YWHAE
Ductal cell MKI67	THRAP3
Ductal cell MKI67	CALR
Ductal cell MKI67	ATP5MG
Ductal cell MKI67	GDI2
Ductal cell MKI67	VCAN
Ductal cell MKI67	NDUFB1
Ductal cell MKI67	RPLP2
Ductal cell MKI67	CREM
Ductal cell MKI67	H3F3B
Ductal cell MKI67	RBBP8
Ductal cell MKI67	NUDC
Ductal cell MKI67	RPL5
Ductal cell MKI67	HNRNPF
Ductal cell MKI67	NDUFS5
Ductal cell MKI67	RPS12
Ductal cell MKI67	RBPJ
Ductal cell MKI67	RHEB
Ductal cell MKI67	RBX1
Ductal cell MKI67	RPS27L
Ductal cell MKI67	NDUFB11
Ductal cell MKI67	TIMM13
Ductal cell MKI67	SRP9
Ductal cell MKI67	MZT2A
Ductal cell MKI67	EIF3K
Ductal cell MKI67	HSPE1
Ductal cell MKI67	PSMB8
Ductal cell MKI67	UBALD2
Ductal cell MKI67	NDUFS6
Ductal cell MKI67	RPL18A
Ductal cell MKI67	COX20
Ductal cell MKI67	NDUFA6
Ductal cell MKI67	HLA-DQB1
Ductal cell MKI67	ATP5PF
Ductal cell MKI67	CD3D
Ductal cell MKI67	ATP5F1C
Ductal cell MKI67	TMEM97
Ductal cell MKI67	PFDN2
Ductal cell MKI67	COX7B
Ductal cell MKI67	ZNF331
Ductal cell MKI67	EIF3A
Ductal cell MKI67	RPS5
Ductal cell MKI67	SLIRP
Ductal cell MKI67	CNIH4
Ductal cell MKI67	APOC1
Ductal cell MKI67	MRPL57
Ductal cell MKI67	ALDH1A1
Ductal cell MKI67	EBPL
Ductal cell MKI67	CCT3
Ductal cell MKI67	NDUFC2
Ductal cell MKI67	COX6C
Ductal cell MKI67	PRDX4
Ductal cell MKI67	CTSS
Ductal cell MKI67	FBP1
Ductal cell MKI67	GCHFR
Ductal cell MKI67	CALM2
Ductal cell MKI67	AC020656.1
Ductal cell MKI67	LYZ
Ductal cell MKI67	IFI6
Ductal cell MKI67	SNRPB2
Ductal cell MKI67	NR4A2
Ductal cell MKI67	MRPL52
Ductal cell MKI67	GADD45GIP1
Ductal cell MKI67	RGS2
Ductal cell MKI67	REL
Ductal cell MKI67	ID2
Ductal cell MKI67	PRDX2
Ductal cell MKI67	SGK1
Ductal cell MKI67	FN1
Ductal cell MKI67	HIST1H1C
Ductal cell MKI67	EEF1B2
Ductal cell MKI67	TMSB4X
Ductal cell MKI67	TXN
Ductal cell MKI67	DNAJA1
Ductal cell MKI67	HSPA6
Ductal cell MKI67	CBR1
Ductal cell MKI67	CCNE1
Ductal cell MKI67	ZFP36L2
Ductal cell MKI67	TPM2
Ductal cell MKI67	APOE
Ductal cell MKI67	CTSZ
Ductal cell MKI67	G0S2
Ductal cell MKI67	TYMP
Ductal cell MKI67	TSC22D3
Ductal cell MKI67	BTG1
Ductal cell MKI67	CXCL3
Ductal cell MKI67	GLUL
Ductal cell MKI67	IGFBP7
Ductal cell MKI67	MT1X
Ductal cell MKI67	FTL
Ductal cell MKI67	CCL20
Ductal cell MKI67	CTSB
Ductal cell CEACAM5	SPRR3
Ductal cell CEACAM5	CEACAM5
Ductal cell CEACAM5	SPRR1B
Ductal cell CEACAM5	CRCT1
Ductal cell CEACAM5	LMO7
Ductal cell CEACAM5	KLK11
Ductal cell CEACAM5	DHRS9
Ductal cell CEACAM5	KLK7
Ductal cell CEACAM5	COL17A1
Ductal cell CEACAM5	EPS8L1
Ductal cell CEACAM5	CD55
Ductal cell CEACAM5	LAMB3
Ductal cell CEACAM5	LAMC2
Ductal cell CEACAM5	PRSS8
Ductal cell CEACAM5	NECTIN4
Ductal cell CEACAM5	CST6
Ductal cell CEACAM5	TRIM29
Ductal cell CEACAM5	LRRC8A
Ductal cell CEACAM5	TMBIM1
Ductal cell CEACAM5	CEACAM6
Ductal cell CEACAM5	SPRR2A
Ductal cell CEACAM5	MALL
Ductal cell CEACAM5	ITGB1
Ductal cell CEACAM5	TIMP2
Ductal cell CEACAM5	SERPINB2
Ductal cell CEACAM5	IGFL2-AS1
Ductal cell CEACAM5	TTC9
Ductal cell CEACAM5	TM4SF1
Ductal cell CEACAM5	KLK10
Ductal cell CEACAM5	RHOD
Ductal cell CEACAM5	CEACAM1
Ductal cell CEACAM5	HK2
Ductal cell CEACAM5	TMEM106B
Ductal cell CEACAM5	ST3GAL4
Ductal cell CEACAM5	CDCP1
Ductal cell CEACAM5	LY6K
Ductal cell CEACAM5	KRT16
Ductal cell CEACAM5	MAL2
Ductal cell CEACAM5	SDCBP2
Ductal cell CEACAM5	MUC16
Ductal cell CEACAM5	PLEC
Ductal cell CEACAM5	MUCL3
Ductal cell CEACAM5	GCNT3
Ductal cell CEACAM5	KCNK1
Ductal cell CEACAM5	JUP
Ductal cell CEACAM5	PRSS22
Ductal cell CEACAM5	CD59
Ductal cell CEACAM5	FAM3C
Ductal cell CEACAM5	FA2H
Ductal cell CEACAM5	RAB11FIP1
Ductal cell CEACAM5	CD24
Ductal cell CEACAM5	SPNS2
Ductal cell CEACAM5	KRT7
Ductal cell CEACAM5	FAM83A
Ductal cell CEACAM5	SPINT1
Ductal cell CEACAM5	GPRC5A
Ductal cell CEACAM5	MACC1
Ductal cell CEACAM5	MFGE8
Ductal cell CEACAM5	ITGA2
Ductal cell CEACAM5	TMPRSS11E
Ductal cell CEACAM5	EEF1A2
Ductal cell CEACAM5	PPP1CB
Ductal cell CEACAM5	CDH1
Ductal cell CEACAM5	GALNT5
Ductal cell CEACAM5	F3
Ductal cell CEACAM5	LY6G6C
Ductal cell CEACAM5	TACSTD2
Ductal cell CEACAM5	VSTM2L
Ductal cell CEACAM5	BZW1
Ductal cell CEACAM5	SPINT2
Ductal cell CEACAM5	PARD6B
Ductal cell CEACAM5	GULP1
Ductal cell CEACAM5	FAM102A
Ductal cell CEACAM5	PPL
Ductal cell CEACAM5	HDAC9
Ductal cell CEACAM5	SPRR2D
Ductal cell CEACAM5	S100P
Ductal cell CEACAM5	SLPI
Ductal cell CEACAM5	WNT7B
Ductal cell CEACAM5	MROH6
Ductal cell CEACAM5	LINC01559
Ductal cell CEACAM5	ISG20
Ductal cell CEACAM5	PPARD
Ductal cell CEACAM5	PCDH1
Ductal cell CEACAM5	CLIC5
Ductal cell CEACAM5	LIPH
Ductal cell CEACAM5	C19orf33
Ductal cell CEACAM5	MYH14
Ductal cell CEACAM5	FLNB
Ductal cell CEACAM5	KRT23
Ductal cell CEACAM5	FAM129B
Ductal cell CEACAM5	AL121761.2
Ductal cell CEACAM5	ANXA3
Ductal cell CEACAM5	MYO1E
Ductal cell CEACAM5	SYTL4
Ductal cell CEACAM5	HS3ST1
Ductal cell CEACAM5	PERP
Ductal cell CEACAM5	ACTN4
Ductal cell CEACAM5	ADGRF1
Ductal cell CEACAM5	CLTB
Ductal cell CEACAM5	SNX9
Ductal cell CEACAM5	SCRN1
Ductal cell CEACAM5	LSR
Ductal cell CEACAM5	SAMD9
Ductal cell CEACAM5	STEAP4
Ductal cell CEACAM5	GRHL1
Ductal cell CEACAM5	ABHD17C
Ductal cell CEACAM5	F11R
Ductal cell CEACAM5	CDC42EP5
Ductal cell CEACAM5	CDA
Ductal cell CEACAM5	SCEL
Ductal cell CEACAM5	CGN
Ductal cell CEACAM5	SERTAD2
Ductal cell CEACAM5	ADAMTS9
Ductal cell CEACAM5	EZR
Ductal cell CEACAM5	MXD1
Ductal cell CEACAM5	CAMK2N1
Ductal cell CEACAM5	SUN1
Ductal cell CEACAM5	C4orf48
Ductal cell CEACAM5	ECM1
Ductal cell CEACAM5	LITAF
Ductal cell CEACAM5	CAST
Ductal cell CEACAM5	RASEF
Ductal cell CEACAM5	CCNG2
Ductal cell CEACAM5	NEBL
Ductal cell CEACAM5	PLS3
Ductal cell CEACAM5	SSFA2
Ductal cell CEACAM5	LBH
Ductal cell CEACAM5	USP53
Ductal cell CEACAM5	UBE2H
Ductal cell CEACAM5	CTNNA1
Ductal cell CEACAM5	DSG2
Ductal cell CEACAM5	SLC20A2
Ductal cell CEACAM5	CHMP2B
Ductal cell CEACAM5	ITGB8
Ductal cell CEACAM5	DSP
Ductal cell CEACAM5	SBDS
Ductal cell CEACAM5	ARAP2
Ductal cell CEACAM5	TSG101
Ductal cell CEACAM5	LCN2
Ductal cell CEACAM5	SERINC2
Ductal cell CEACAM5	TMPRSS2
Ductal cell CEACAM5	MUC13
Ductal cell CEACAM5	MET
Ductal cell CEACAM5	DST
Ductal cell CEACAM5	RALA
Ductal cell CEACAM5	DNAJC5
Ductal cell CEACAM5	CD2AP
Ductal cell CEACAM5	MYO5B
Ductal cell CEACAM5	PHACTR3
Ductal cell CEACAM5	ABLIM3
Ductal cell CEACAM5	TMOD3
Ductal cell CEACAM5	ATP6V0E1
Ductal cell CEACAM5	BCL2L1
Ductal cell CEACAM5	KRT80
Ductal cell CEACAM5	PICALM
Ductal cell CEACAM5	MUC5AC
Ductal cell CEACAM5	C1orf116
Ductal cell CEACAM5	TINAGL1
Ductal cell CEACAM5	CBX6
Ductal cell CEACAM5	EPS8
Ductal cell CEACAM5	IL2RG
Ductal cell CEACAM5	ASS1
Ductal cell CEACAM5	CAB39
Ductal cell CEACAM5	YPEL3
Ductal cell CEACAM5	UGCG
Ductal cell CEACAM5	APOL1
Ductal cell CEACAM5	RIOK3
Ductal cell CEACAM5	ATP6V1E1
Ductal cell CEACAM5	PRR34-AS1
Ductal cell CEACAM5	AHNAK2
Ductal cell CEACAM5	SH3BGRL3
Ductal cell CEACAM5	SLC6A14
Ductal cell CEACAM5	ST14
Ductal cell CEACAM5	FER1L6
Ductal cell CEACAM5	SCNN1A
