cluster	gene
Ductal cell RPS3	NR4A1
Ductal cell RPS3	C3
Ductal cell RPS3	EEF1A1
Ductal cell RPS3	EPB41L4A-AS1
Ductal cell RPS3	MT1F
Ductal cell RPS3	BTG2
Ductal cell RPS3	RHOB
Ductal cell RPS3	ATF3
Ductal cell RPS3	NFIA
Ductal cell RPS3	IGHA1
Ductal cell RPS3	AMBP
Ductal cell RPS3	RPS14
Ductal cell RPS3	IGHG4
Ductal cell RPS3	RPS3A
Ductal cell RPS3	RPS25
Ductal cell RPS3	IGFBP7
Ductal cell RPS3	PLA2G1B
Ductal cell RPS3	RPL36
Ductal cell RPS3	NCOA7
Ductal cell RPS3	CTRB1
Ductal cell RPS3	DUSP1
Ductal cell RPS3	SOX9
Ductal cell RPS3	PRSS1
Ductal cell RPS3	RPS15A
Ductal cell RPS3	TOMM7
Ductal cell RPS3	HLA-DQB1
Ductal cell RPS3	RPS2
Ductal cell RPS3	ATP5MC2
Ductal cell RPS3	SLC25A6
Ductal cell RPS3	EIF3F
Ductal cell RPS3	PFDN5
Ductal cell RPS3	RPL13A
Ductal cell RPS3	SST
Ductal cell RPS3	RPL19
Ductal cell RPS3	FOSB
Ductal cell RPS3	RPL27
Ductal cell RPS3	PEBP1
Ductal cell RPS3	SERPING1
Ductal cell RPS3	MMP7
Ductal cell RPS3	CXCL3
Ductal cell RPS3	RPS18
Ductal cell RPS3	ATP1A1
Ductal cell RPS3	RPL22
Ductal cell RPS3	RPL14
Ductal cell RPS3	RPS3
Ductal cell RPS3	EGR4
Ductal cell RPS3	SERTAD1
Ductal cell RPS3	EEF1B2
Ductal cell RPS3	RPL9
Ductal cell RPS3	RBP1
Ductal cell RPS3	PPP1R1B
Ductal cell RPS3	UBA52
Ductal cell RPS3	BAG3
Ductal cell RPS3	HBEGF
Ductal cell RPS3	UBC
Ductal cell RPS3	UBB
Ductal cell RPS3	RPL7A
Ductal cell RPS3	RPS5
Ductal cell RPS3	RPL39
Ductal cell RPS3	RPS11
Ductal cell RPS3	NFIB
Ductal cell RPS3	URI1
Ductal cell RPS3	CYB5A
Ductal cell RPS3	TTR
Ductal cell RPS3	RACK1
Ductal cell RPS3	RPS16
Ductal cell RPS3	CTRC
Ductal cell RPS3	LGALS2
Ductal cell RPS3	SAT1
Ductal cell RPS3	RAMP1
Ductal cell RPS3	RPL23A
Ductal cell RPS3	FOS
Ductal cell RPS3	ZC3H12A
Ductal cell RPS3	AKR1C3
Ductal cell RPS3	NEB
Ductal cell RPS3	GDF15
Ductal cell RPS3	IER2
Ductal cell RPS3	C6orf48
Ductal cell RPS3	REG1B
